free_text,label_id,is_synthetic,temp_id,quality_score
"Mẹ kiếp, lũ đầu đất này cứ tưởng mình là thánh. Não toàn bã đậu, đi đâu cũng gây sự.",2,True,0,5
"Đám ad này óc ngắn hơn cả con kiến. Suốt ngày chỉ biết ăn với phá, xã hội toàn ung nhọt vì chúng nó.",2,True,1,5
"Đồ ngu như chó, suốt ngày chỉ biết sủa bậy trên mạng!",2,True,2,5
"Bọn óc bã đậu, đầu toàn cứt mà cứ thích phán xét thiên hạ.",2,True,3,5
"Mõm, não tàn, óc bã đậu.",2,True,4,5
"Xàm l*n, óc chó, cút ngay.",2,True,5,5
"Con mẹ mày óc chó, cút ngay",2,True,6,5
"Đồ súc sinh, câm mồm",2,True,7,5
"Địt mẹ, lũ rận chủ chỉ giỏi sủa, lo mà kiếm tiền nuôi thân đi, đừng có sống bám vào đồng tiền của người khác nữa, dm.",2,True,8,5
"Mấy thằng cộng nô óc bã đậu, đầu toàn cứt, suốt ngày ca ngợi đảng, cút ngay khỏi đất nước này.",2,True,9,5
"Mấy thằng xàm l** cứ thích thể hiện, thích mua siêu xe thì cắm mặt vào làm ăn, bày đặt đi phán xét.",2,True,10,4
"Đám ăn hại, vô dụng, chỉ giỏi ăn với phá, xã hội có sụp đổ cũng là do lũ chúng mày.",2,True,11,5
"Đám cuồng dâm này suốt ngày chỉ biết hóng hớt, não tàn!",2,True,12,5
"Mấy thằng mặt lồn óc chó, câm mồm lại ngay!",2,True,13,5
"Mấy thằng mặt lồn, óc thì toàn cứt mà cứ tưởng mình là nhất.",2,True,14,5
"Chúng mày là một lũ súc sinh, sống chỉ để phá hoại.",2,True,15,5
Mày có lồn mà bày đặt,2,True,16,5
Cái đồ óc cứt trâu,2,True,17,5
"Mấy thằng óc chó, não toàn bã đậu!",2,True,18,5
"Chúng mày là lũ ăn cứt, sống bám váy xã hội!",2,True,19,5
"Thằng cha này não tàn hơn cả con vịt, óc bằng cái lỗ mũi.",2,True,20,5
"Đúng là lũ ăn hại, ngồi không cũng đòi có ăn, mặt thì như cái đít nồi, óc thì toàn bã đậu.",2,True,21,5
"Miệng như cái loa, óc như trái nho khô.",2,True,22,4
"Điêu toa, xảo quyệt, não tàn, cả lũ tụi bây",2,True,23,5
"Mấy thằng óc lợn kia, óc thì bé như hạt tiêu mà cứ thích ra vẻ.",2,True,24,5
"Đám súc sinh này, não toàn bã đậu mà cứ tưởng mình là nhất.",2,True,25,5
"Đồ não tàn, óc chó!",2,True,26,5
"Cút xéo, biến đi, đừng có ở đây làm ô nhiễm không khí!",2,True,27,5
"Mấy thằng đầu đường xó chợ, sống bám váy thiên hạ, bày đặt mở mồm dạy đời.",2,True,28,5
"Bọn mặt người dạ thú, lúc nào cũng rình rập, hút máu người khác, sống không bằng loài vật.",2,True,29,5
Đồ não tàn óc bã đậu,2,True,30,5
"Cút xéo ngay, lũ sâu bọ",2,True,31,5
"Đúng là lũ ăn hại, ngồi không cũng đổ lỗi cho người khác, như cái đám cải cách giáo dục toàn xàm",2,True,32,5
"Cả lũ óc chó, cứ thích thể hiện, như cái trò bình chữa cháy, rước họa vào thân",2,True,33,5
"Mẹ mày là con đĩ, óc chó, não tàn, ăn nói như cái lồn.",2,True,34,5
"Đúng là lũ súc sinh, ăn nói xàm lồn, óc thì toàn cứt, sống chỉ để phá hoại.",2,True,35,5
"Đúng là lũ ăn hại, ăn không ngồi rồi chỉ biết gây chuyện thị phi!",2,True,36,5
"Mấy thằng mặt lợn, óc bã đậu, đầu toàn cứt!",2,True,37,5
"Mõm như cứt trâu, bày đặt ra vẻ.",2,True,38,5
"Cái lũ não tàn, óc bã đậu, chuyên đi hóng hớt.",2,True,39,5
"Mấy thằng óc chó này chắc chắn là họ hàng với nhau, cùng một lũ ngu!",2,True,40,5
"Địt mẹ, bọn bay đúng là lũ ăn c*t mà cứ tưởng mình là người!",2,True,41,5
"Đồ óc bã đậu, đầu toàn cứt trâu mà bày đặt phán xét.",2,True,42,5
"Câm mồm, óc chó. Sao không tự soi gương xem bản thân đã ra cái thá gì rồi mà sủa.",2,True,43,5
"Mấy con giời óc chó thích thể hiện, cút!",2,True,44,5
"Cả lũ rận chủ óc bã đậu, câm mồm!",2,True,45,5
"bọn báo đăng tin láo, óc như cứt",2,True,46,5
"chúng mày là một lũ mặt lợn, óc bã đậu",2,True,47,5
"Đồ óc bã đậu, ăn nói như cái loa rè!",2,True,48,5
"Miệng lưỡi như cái bơm, toàn xạo loz.",2,True,49,4
"Địt mẹ lũ óc bã đậu, đầu toàn cứt mà cứ tưởng mình là thánh.",2,True,50,5
"Nhìn cái mặt ngu si đần độn như con lợn, đúng là giống loài ăn hại xã hội.",2,True,51,5
"Mấy con mụ óc bã đậu cứ thích thể hiện, đúng là lũ rác rưởi!",2,True,52,5
"Cái lũ đầu đất, ngu si tứ chi, não thì để ở nhà à?",2,True,53,5
Mõm như m chắc chỉ biết ăn cám lợn.,2,True,54,5
Mặt như cái đb mà bày đặt sủa.,2,True,55,5
"Đồ não tàn óc bã đậu, câm mồm nuốt trôi cả thế giới đi.",2,True,56,5
"Loại mày là giống gì mà suốt ngày sủa như chó dại, biến dùm cái.",2,True,57,5
"Đồ con lợn, óc thì bằng quả nho, thích thể hiện",2,True,58,5
"Cút xéo, não tàn, mồm thì như cái loa phường, ồn ào",2,True,59,5
"Đám sâu bọ chuyên đi ăn cắp chất xám, não thì bé tí như hạt tiêu.",2,True,60,5
"Bọn vô học, mặt thì như cái đ** mà còn bày đặt ra vẻ ta đây.",2,True,61,5
"Mấy thằng óc bã đậu, chắc não toàn cứt nên mới bày trò hề cho thiên hạ cười!",2,True,62,5
"Đám rận chủ não tàn, suốt ngày chỉ biết bợ đít tư bản giãy chết.",2,True,63,5
"Đồ não tàn, óc bằng cái lỗ cống, ăn nói như cứt trâu!",2,True,64,5
"Đám ranh con, mồm thì thối, não thì ngắn, đi đâu cũng chỉ gây họa!",2,True,65,5
Mõm như cái đ** mà cứ sủa,2,True,66,5
Cả nhà mày óc chó,2,True,67,5
"Bọn chúng não toàn bã đậu, ăn nói như cứt, toàn lũ sâu mọt đục khoét đất nước.",2,True,68,5
"Đám quan tham mặt dày mày dạn, ăn không từ thứ gì, sống bám vào mồ hôi nước mắt của dân.",2,True,69,5
"Bọn chúng chắc chắn là lũ não tàn, không biết nghĩ gì khác ngoài việc phá hoại.",2,True,70,5
"Mấy thằng cha nội thích thể hiện, chắc não chỉ có mỗi rau muống với đậu phụ.",2,True,71,5
"Mày ăn cứt còn không thèm nhai, bày đặt ói ra ba cái điều xàm l*n!",2,True,72,5
"Đồ não tàn, óc bã đậu, đi đổ vỏ cho thiên hạ rồi còn lên mặt dạy đời.",2,True,73,5
"Chúng mày là lũ ăn cứt, đầu óc toàn bã đậu!",2,True,74,5
"Đồ con lợn, óc bã đậu, chuyên đi phá hoại.",2,True,75,5
"Đm thằng này, óc thì bé như hạt tiêu, mồm thì rộng như cái cống rãnh.",2,True,76,5
"Nhìn mặt mày, tao chỉ muốn đấm cho rụng hết răng, rồi tống vào cái cống cho đỡ ngứa mắt.",2,True,77,5
"Đồ con lợn, ăn cháo đá bát!",2,True,78,5
"Cái lũ mặt l*n, óc bã đậu!",2,True,79,5
"Mấy thằng óc chó, bảo thủ, ngu dốt, chỉ giỏi ăn cắp vặt, bòn rút của dân.",2,True,80,5
"Bọn phản động, rận chủ, lũ sâu bọ, toàn lũ ăn không ngồi rồi, phá hoại đất nước, chỉ giỏi chửi bới.",2,True,81,5
"Mấy thằng óc chó, não toàn bã đậu, suốt ngày chỉ biết hùa theo, nghe nhạc như cứt mà cứ tưởng hay.",2,True,82,5
"Bọn mặt lồn, rác rưởi của xã hội, ăn nói thì thô tục, hành xử thì đốn mạt, sống chỉ tổ làm ô uế.",2,True,83,5
dm bọn tham nhũng suốt ngày ăn cướp của dân,2,True,84,5
Bọn cộng nô độc tài chỉ biết vơ vét của cải,2,True,85,5
"Con mẹ mày não tàn, óc chó!",2,True,86,5
Đám súc vật chúng mày chỉ giỏi sủa bậy.,2,True,87,5
"Địt mẹ lũ chó đểu, chuyên đi ăn cắp chất xám, não thì teo tóp.",2,True,88,5
"Cả họ nhà mày là một lũ súc sinh, sống chỉ biết bám váy đàn bà, mặt thì như cái đ**.",2,True,89,5
"Đồ con lợn, óc như cái bãi cứt trâu!",2,True,90,5
"Mẹ mày, não mày toàn cứt hay gì mà nói năng như vậy?",2,True,91,5
Mặt lồn như mày sao dám lên tiếng.,2,True,92,5
"Đồ chó đẻ, cút",2,True,93,5
Mẹ kiếp lũ sâu bọ ăn hại não!,2,True,94,5
Bọn óc bã đậu chuyên đi phá hoại.,2,True,95,5
"Mặt mày như cái đống cứt trâu, ai nhìn cũng ói",2,True,96,5
"Đầu mày óc bã đậu, đi đâu cũng gây họa",2,True,97,5
"Mày là cái thứ não bằng hạt đậu, chỉ được cái ăn không ngồi rồi chứ làm được đéo gì ra hồn.",2,True,98,5
"Đồ chó ghẻ, mở mồm ra là sủa bậy, có giỏi thì ra đường mà thể hiện chứ núp lùm mãi làm gì.",2,True,99,5
Não úng nước hay gì mà suy nghĩ nông cạn như rãnh nước thải vậy?,2,True,100,5
Đồ súc vật chỉ biết ăn bám và giẫm đạp lên người khác để sống.,2,True,101,5
"Đồ chó chết, làm ơn biến khỏi mắt tao đi!",2,True,102,5
"Ăn nói vô học vậy ai mà thèm nghe, câm cái mồm lồn của mày lại đi!",2,True,103,5
"Mày đúng là thứ ngu độn, đầu óc toàn mùn cưa chắc.",2,True,104,5
"Biến ngay khỏi mắt tao, đồ súc vật dơ bẩn!",2,True,105,5
"Đầu óc thằng này chắc dính phèn, nói toàn lời vô nghĩa.",2,True,106,5
"Cái mồm toàn phọt ra rác rưởi, đúng là đồ vô học.",2,True,107,5
"Đm thằng này chỉ được cái mồm to, làm thì như cớt",2,True,108,5
"Mày cứ sống như một con chó đi, rồi có ngày cũng chết mục thôi",2,True,109,5
Cái loại óc chó như mày thì nói chuyện chỉ tổ tốn nước bọt!,2,True,110,5
"Mặt dày hơn đít nồi, lương tâm thì cho chó gặm hết rồi à?",2,True,111,5
"Thằng óc chó này nói chuyện nghe như cứt đổ bô, não mày chứa toàn bã đậu nên không hiểu gì à con ngu?",2,True,112,5
Mày mù hay đui mà đéo nhìn ra vấn đề? Hay não mày bị chó gặm hết rồi nên nói chuyện cứ loạn xạ lên như thằng điên?,2,True,113,5
"Mày ngu như bò, đã ngu còn thích thể hiện thì im mẹ cái mồm đi.",2,True,114,5
"Lũ chó tham lam, ăn của dân không biết chừa, có ngày nghiệp quật chết hết!",2,True,115,5
"Mấy thằng khốn nạn chỉ giỏi nói đạo lý, còn việc đục khoét xương máu dân đen thì nhanh như chớp.",2,True,116,5
Cái loại óc cứt như mày thì suốt đời chỉ biết sủa bậy chứ làm được cái đéo gì.,2,True,117,5
"Đồ vô liêm sỉ, nói đạo lý rồi quay lưng ăn tiền của dân!",2,True,118,4
"Thằng này ngu như bò mà cứ thích thể hiện, đúng là cái loại óc chó!",2,True,119,5
"Cái lũ quan chức chỉ giỏi ăn hại, bóc lột dân đen. Đúng là một lũ chó má!",2,True,120,5
